day,cfs
2018-11-02,13500
2018-11-03,25800
2018-11-04,26000
2018-11-05,23100
2018-11-06,35800
2018-11-07,48300
2018-11-08,37700
2018-11-09,32000
2018-11-10,35100
2018-11-11,51000
2018-11-12,39200
2018-11-13,36800
2018-11-14,38000
2018-11-15,40700
2018-11-16,47000
2018-11-17,49900
2018-11-18,50800
2018-11-19,48700
2018-11-20,44600
2018-11-21,43300
2018-11-22,44500
2018-11-23,38800
2018-11-24,35600
2018-11-25,55000
2018-11-26,59300
2018-11-27,52100
2018-11-28,42900
2018-11-29,34600
2018-11-30,29200
2018-12-01,26600
2018-12-02,26100
2018-12-03,27300
2018-12-04,26800
2018-12-05,23100
2018-12-06,20300
2018-12-07,18500
2018-12-08,16900
2018-12-09,15600
2018-12-10,14900
2018-12-11,14800
2018-12-12,13700
2018-12-13,12500
2018-12-14,12000
2018-12-15,18700
2018-12-16,67400
2018-12-17,143000
2018-12-18,101000
2018-12-19,60300
2018-12-20,44500
2018-12-21,41900
2018-12-22,60400
2018-12-23,86300
2018-12-24,68100
2018-12-25,48700
2018-12-26,38900
2018-12-27,32000
2018-12-28,32300
2018-12-29,43100
2018-12-30,47600
2018-12-31,43100
