day,mw
2018-09-11,27910.708333333332
2018-09-12,28549.208333333332
2018-09-13,27679.6875
2018-09-14,27478.291666666668
2018-09-15,24960.625
2018-09-16,23363.895833333332
2018-09-17,27822.416666666668
2018-09-18,26750.729166666668
2018-09-19,26646.5
2018-09-20,28812.208333333332
2018-09-21,25788.666666666668
2018-09-22,26985.5
2018-09-23,26058.75
2018-09-24,29018.291666666668
2018-09-25,28621.25
2018-09-26,28076.041666666668
2018-09-27,28031.145833333332
2018-09-28,28560.791666666668
2018-09-29,24731.041666666668
2018-09-30,25218.6875
2018-10-01,29222.166666666668
2018-10-02,28643.958333333332
2018-10-03,30153.75
2018-10-04,29666.0625
2018-10-05,30162.458333333332
2018-10-06,27591.75
2018-10-07,25631.4375
2018-10-08,29038.8125
2018-10-09,27774.666666666668
2018-10-10,28889.6875
2018-10-11,29124.4375
2018-10-12,28010.8125
2018-10-13,25199.333333333332
2018-10-14,27248.8125
2018-10-15,31632.625
2018-10-16,30992.416666666668
2018-10-17,31602.0625
2018-10-18,31176.333333333332
2018-10-19,30203.729166666668
2018-10-20,26638.916666666668
2018-10-21,25409.354166666668
2018-10-22,29170.458333333332
2018-10-23,29064.416666666668
2018-10-24,29639.375
2018-10-25,31138.916666666668
2018-10-26,29938.541666666668
2018-10-27,28850.875
2018-10-28,29133.52
2018-10-29,34265.6875
2018-10-30,35414.041666666664
2018-10-31,34524.291666666664
2018-11-01,34479.104166666664
2018-11-02,33345.270833333336
2018-11-03,27634.270833333332
2018-11-04,28942.020833333332
2018-11-05,33364.520833333336
2018-11-06,32375.208333333332
2018-11-07,32147.875
2018-11-08,32672.166666666668
2018-11-09,31749.5625
2018-11-10,29450.145833333332
2018-11-11,29058.979166666668
2018-11-12,31954.458333333332
2018-11-13,31946.041666666668
2018-11-14,31705.395833333332
2018-11-15,33006.708333333336
2018-11-16,33705.708333333336
2018-11-17,29395.083333333332
2018-11-18,29263.208333333332
2018-11-19,34355.625
2018-11-20,35726.854166666664
2018-11-21,36847.333333333336
2018-11-22,38215.854166666664
2018-11-23,37286.958333333336
2018-11-24,33094.8125
2018-11-25,32198.354166666668
2018-11-26,36794.166666666664
2018-11-27,36772.9375
2018-11-28,34263.333333333336
2018-11-29,33114.770833333336
2018-11-30,32530.645833333332
2018-12-01,31895.416666666668
2018-12-02,29802.5625
2018-12-03,34130.791666666664
2018-12-04,37216.9375
2018-12-05,37236.25
2018-12-06,34596.791666666664
2018-12-07,31986.020833333332
2018-12-08,29444.604166666668
2018-12-09,30296.041666666668
2018-12-10,36596.375
2018-12-11,37025.604166666664
2018-12-12,35672.5625
2018-12-13,36079.375
2018-12-14,37720.770833333336
2018-12-15,33713.604166666664
2018-12-16,33430.916666666664
2018-12-17,36414.416666666664
2018-12-18,34892.1875
2018-12-19,35667.020833333336
2018-12-20,34960.729166666664
2018-12-21,33627.708333333336
2018-12-22,29877.4375
2018-12-23,31199.729166666668
2018-12-24,32040.1875
2018-12-25,29009.520833333332
2018-12-26,27876.270833333332
2018-12-27,31453.666666666668
2018-12-28,31351.833333333332
2018-12-29,28337.833333333332
2018-12-30,28883.833333333332
2018-12-31,28915.166666666668
